Data	Ora	NumAcq	Secondi	Canale_1	Canale_2	Canale_3	Canale_4	Canale_5	Canale_6	Canale_7	Canale_8	TEMP	RH%	Vh1	Vh2	Vh3	Vh4	Vh5	Vh6	Vh7	Vh8	ih1	ih2	ih3	ih4	ih5	ih6	ih7	ih8	Rh1	Rh2	Rh3	Rh4	Rh5	Rh6	Rh7	Rh8
26/03/25	17:42:41	1	5	4.182	1.374	11.632	2.363	1.698	5.977	1.754	1.958	91.976	2.543	3.270	3.310	0.000	3.370	3.400	3.080	3.270	3.220	0.140	0.146	0.000	0.163	0.143	0.152	0.144	0.140	23.357	22.671	NaN	20.675	23.776	20.263	22.708	23.000
26/03/25	17:42:46	2	10	4.180	1.373	11.644	2.363	1.699	5.975	1.753	1.958	103.641	2.520	3.270	3.310	0.000	3.370	3.390	3.070	3.270	3.210	0.140	0.146	0.000	0.163	0.143	0.152	0.145	0.140	23.357	22.671	NaN	20.675	23.706	20.197	22.552	22.929
26/03/25	17:42:51	3	15	4.177	1.373	11.635	2.363	1.700	5.973	1.753	1.958	88.800	2.514	3.270	3.310	0.000	3.370	3.390	3.070	3.270	3.220	0.140	0.146	0.000	0.163	0.142	0.152	0.144	0.140	23.357	22.671	NaN	20.675	23.873	20.197	22.708	23.000
26/03/25	17:42:56	4	20	4.178	1.372	11.652	2.363	1.696	5.971	1.753	1.958	105.150	2.539	3.270	3.310	0.000	3.370	3.400	3.080	3.270	3.220	0.140	0.146	0.000	0.163	0.143	0.152	0.144	0.140	23.357	22.671	NaN	20.675	23.776	20.263	22.708	23.000
26/03/25	17:43:01	5	25	4.176	1.371	11.659	2.363	1.685	5.967	1.753	1.958	133.884	2.516	3.270	3.310	0.000	3.370	3.390	3.080	3.270	3.220	0.140	0.146	0.000	0.163	0.143	0.152	0.145	0.140	23.357	22.671	NaN	20.675	23.706	20.263	22.552	23.000
26/03/25	17:43:06	6	30	4.174	1.370	11.663	2.363	1.686	5.965	1.753	1.958	180.317	2.539	3.270	3.310	0.000	3.370	3.400	3.070	3.270	3.220	0.140	0.147	0.000	0.163	0.142	0.152	0.144	0.140	23.357	22.517	NaN	20.675	23.944	20.197	22.708	23.000
26/03/25	17:43:11	7	35	4.172	1.370	11.661	2.363	1.685	5.961	1.753	1.958	156.243	2.537	3.270	3.310	0.000	3.370	3.400	3.080	3.270	3.220	0.140	0.146	0.000	0.163	0.143	0.152	0.144	0.140	23.357	22.671	NaN	20.675	23.776	20.263	22.708	23.000
26/03/25	17:43:16	8	40	4.170	1.369	11.658	2.363	1.680	5.958	1.753	1.958	143.143	2.513	3.270	3.310	0.000	3.370	3.400	3.080	3.270	3.220	0.140	0.147	0.000	0.163	0.142	0.152	0.145	0.140	23.357	22.517	NaN	20.675	23.944	20.263	22.552	23.000
26/03/25	17:43:21	9	45	4.169	1.368	11.660	2.363	1.685	5.957	1.753	1.958	149.544	2.541	3.270	3.310	0.000	3.370	3.400	3.080	3.270	3.220	0.140	0.146	0.000	0.163	0.143	0.152	0.144	0.140	23.357	22.671	NaN	20.675	23.776	20.263	22.708	23.000
26/03/25	17:43:26	10	50	4.168	1.368	11.634	2.363	1.683	5.953	1.753	1.959	100.481	2.543	3.270	3.310	0.000	3.370	3.390	3.080	3.270	3.220	0.140	0.146	0.000	0.163	0.142	0.152	0.144	0.140	23.357	22.671	NaN	20.675	23.873	20.263	22.708	23.000
26/03/25	17:43:31	11	55	4.167	1.367	11.633	2.363	1.685	5.951	1.753	1.959	104.747	2.549	3.270	3.310	0.000	3.370	3.400	3.080	3.270	3.220	0.140	0.146	0.000	0.163	0.143	0.152	0.144	0.140	23.357	22.671	NaN	20.675	23.776	20.263	22.708	23.000
26/03/25	17:43:36	12	60	4.165	1.366	11.661	2.363	1.685	5.949	1.753	1.959	148.987	2.545	3.270	3.310	0.000	3.370	3.390	3.080	3.270	3.220	0.140	0.146	0.000	0.163	0.143	0.152	0.144	0.140	23.357	22.671	NaN	20.675	23.706	20.263	22.708	23.000
26/03/25	17:43:41	13	65	4.163	1.366	11.663	2.363	1.682	5.945	1.753	1.959	144.979	2.537	3.270	3.310	0.000	3.370	3.400	3.080	3.270	3.220	0.140	0.147	0.000	0.163	0.142	0.152	0.144	0.140	23.357	22.517	NaN	20.675	23.944	20.263	22.708	23.000
26/03/25	17:43:46	14	70	4.162	1.365	11.663	2.363	1.683	5.944	1.753	1.959	144.627	2.517	3.270	3.310	0.000	3.370	3.400	3.080	3.270	3.220	0.140	0.146	0.000	0.163	0.143	0.152	0.144	0.140	23.357	22.671	NaN	20.675	23.776	20.263	22.708	23.000
