Data	Ora	NumAcq	Secondi	Canale_1	Canale_2	Canale_3	Canale_4	Canale_5	Canale_6	Canale_7	Canale_8	TEMP	RH%	Vh1	Vh2	Vh3	Vh4	Vh5	Vh6	Vh7	Vh8	ih1	ih2	ih3	ih4	ih5	ih6	ih7	ih8	Rh1	Rh2	Rh3	Rh4	Rh5	Rh6	Rh7	Rh8
21/03/25	10:47:01	1	5	0.194	0.220	11.664	4.043	3.637	0.297	3.863	4.280	26.958	2.123	3.820	3.890	0.000	3.930	3.980	3.620	3.840	3.790	0.151	0.158	0.000	0.174	0.153	0.164	0.156	0.151	25.298	24.620	NaN	22.586	26.013	22.073	24.615	25.099
21/03/25	10:47:06	2	10	0.194	0.219	11.663	4.043	3.638	0.297	3.863	4.280	26.957	2.105	3.820	3.890	0.000	3.930	3.980	3.620	3.840	3.790	0.150	0.158	0.000	0.174	0.153	0.164	0.156	0.152	25.467	24.620	NaN	22.586	26.013	22.073	24.615	24.934
21/03/25	10:47:11	3	15	0.194	0.219	11.663	4.043	3.644	0.297	3.863	4.280	26.957	2.117	3.820	3.890	0.000	3.930	3.980	3.620	3.840	3.790	0.150	0.158	0.000	0.174	0.153	0.164	0.156	0.152	25.467	24.620	NaN	22.586	26.013	22.073	24.615	24.934
21/03/25	10:47:16	4	20	0.194	0.219	11.664	4.043	3.650	0.297	3.863	4.280	26.957	2.117	3.820	3.890	0.000	3.930	3.980	3.620	3.840	3.780	0.151	0.158	0.000	0.174	0.153	0.164	0.156	0.151	25.298	24.620	NaN	22.586	26.013	22.073	24.615	25.033
21/03/25	10:47:21	5	25	0.194	0.219	11.663	4.043	3.642	0.297	3.863	4.280	26.957	2.080	3.820	3.890	0.000	3.930	3.980	3.620	3.840	3.790	0.151	0.158	0.000	0.174	0.153	0.164	0.156	0.151	25.298	24.620	NaN	22.586	26.013	22.073	24.615	25.099
21/03/25	10:47:26	6	30	0.194	0.219	11.662	4.043	3.649	0.297	3.863	4.280	27.395	2.085	3.820	3.890	0.000	3.930	3.980	3.620	3.840	3.790	0.151	0.158	0.000	0.174	0.153	0.164	0.156	0.152	25.298	24.620	NaN	22.586	26.013	22.073	24.615	24.934
21/03/25	10:47:31	7	35	0.194	0.219	11.661	4.043	3.639	0.297	3.863	4.280	26.957	2.111	3.820	3.890	0.000	3.930	3.980	3.620	3.840	3.780	0.150	0.158	0.000	0.174	0.153	0.164	0.156	0.151	25.467	24.620	NaN	22.586	26.013	22.073	24.615	25.033
21/03/25	10:47:36	8	40	0.194	0.219	11.660	4.043	3.636	0.297	3.863	4.280	27.393	2.085	3.820	3.890	0.000	3.930	3.980	3.620	3.840	3.790	0.151	0.158	0.000	0.174	0.153	0.164	0.155	0.152	25.298	24.620	NaN	22.586	26.013	22.073	24.774	24.934
21/03/25	10:47:41	9	45	0.194	0.219	11.655	4.043	3.634	0.297	3.863	4.280	26.958	2.129	3.820	3.890	0.000	3.930	3.980	3.620	3.840	3.790	0.150	0.158	0.000	0.174	0.153	0.164	0.156	0.152	25.467	24.620	NaN	22.586	26.013	22.073	24.615	24.934
21/03/25	10:47:46	10	50	0.194	0.219	11.644	4.043	3.642	0.297	3.863	4.280	26.958	2.107	3.820	3.890	0.000	3.930	3.980	3.620	3.840	3.790	0.150	0.158	0.000	0.174	0.153	0.164	0.156	0.151	25.467	24.620	NaN	22.586	26.013	22.073	24.615	25.099
