Data	Ora	NumAcq	Secondi	Canale_1	Canale_2	Canale_3	Canale_4	Canale_5	Canale_6	Canale_7	Canale_8	TEMP	RH%	Vh1	Vh2	Vh3	Vh4	Vh5	Vh6	Vh7	Vh8	ih1	ih2	ih3	ih4	ih5	ih6	ih7	ih8	Rh1	Rh2	Rh3	Rh4	Rh5	Rh6	Rh7	Rh8
18/03/25	14:58:08	1	5	0.167	0.293	11.658	4.163	3.702	0.174	4.034	4.395	27.738	1.863	3.820	3.890	0.000	3.930	3.980	3.620	3.840	3.790	0.150	0.158	0.000	0.174	0.153	0.163	0.155	0.151	25.467	24.620	NaN	22.586	26.013	22.209	24.774	25.099
18/03/25	14:58:13	2	10	0.167	0.293	11.662	4.163	3.705	0.174	4.034	4.395	28.175	1.855	3.820	3.890	0.000	3.930	3.980	3.620	3.840	3.790	0.151	0.158	0.000	0.174	0.153	0.164	0.156	0.151	25.298	24.620	NaN	22.586	26.013	22.073	24.615	25.099
18/03/25	14:58:18	3	15	0.167	0.293	11.661	4.163	3.702	0.174	4.034	4.395	27.738	1.843	3.820	3.890	0.000	3.930	3.980	3.620	3.840	3.780	0.151	0.158	0.000	0.174	0.153	0.163	0.155	0.151	25.298	24.620	NaN	22.586	26.013	22.209	24.774	25.033
18/03/25	14:58:23	4	20	0.167	0.293	11.657	4.164	3.701	0.175	4.034	4.395	27.737	1.837	3.820	3.890	0.000	3.930	3.980	3.620	3.840	3.790	0.150	0.158	0.000	0.174	0.153	0.164	0.156	0.151	25.467	24.620	NaN	22.586	26.013	22.073	24.615	25.099
18/03/25	14:58:28	5	25	0.167	0.293	11.660	4.164	3.700	0.175	4.034	4.395	27.737	1.838	3.820	3.890	0.000	3.930	3.980	3.620	3.840	3.790	0.150	0.158	0.000	0.174	0.153	0.164	0.156	0.151	25.467	24.620	NaN	22.586	26.013	22.073	24.615	25.099
18/03/25	14:58:33	6	30	0.168	0.293	11.652	4.164	3.695	0.175	4.034	4.395	27.736	1.859	3.820	3.890	0.000	3.930	3.980	3.620	3.840	3.780	0.150	0.158	0.000	0.174	0.153	0.164	0.155	0.151	25.467	24.620	NaN	22.586	26.013	22.073	24.774	25.033
18/03/25	14:58:38	7	35	0.168	0.293	11.655	4.164	3.695	0.175	4.034	4.395	27.736	1.869	3.820	3.890	0.000	3.930	3.980	3.620	3.840	3.790	0.151	0.158	0.000	0.174	0.153	0.164	0.155	0.151	25.298	24.620	NaN	22.586	26.013	22.073	24.774	25.099
18/03/25	14:58:43	8	40	0.168	0.293	11.641	4.164	3.689	0.175	4.034	4.395	27.735	1.865	3.820	3.890	0.000	3.930	3.980	3.620	3.840	3.790	0.150	0.158	0.000	0.174	0.153	0.163	0.156	0.151	25.467	24.620	NaN	22.586	26.013	22.209	24.615	25.099
18/03/25	14:58:48	9	45	0.168	0.294	11.639	4.164	3.690	0.176	4.034	4.394	27.736	1.876	3.820	3.890	0.000	3.930	3.980	3.620	3.840	3.790	0.150	0.158	0.000	0.174	0.153	0.164	0.155	0.151	25.467	24.620	NaN	22.586	26.013	22.073	24.774	25.099
18/03/25	14:58:53	10	50	0.169	0.294	11.658	4.164	3.694	0.176	4.034	4.394	27.735	1.835	3.820	3.890	0.000	3.930	3.980	3.620	3.840	3.790	0.150	0.158	0.000	0.174	0.153	0.164	0.156	0.151	25.467	24.620	NaN	22.586	26.013	22.073	24.615	25.099
