Data	Ora	NumAcq	Secondi	Canale_1	Canale_2	Canale_3	Canale_4	Canale_5	Canale_6	Canale_7	Canale_8	TEMP	RH%	Vh1	Vh2	Vh3	Vh4	Vh5	Vh6	Vh7	Vh8	ih1	ih2	ih3	ih4	ih5	ih6	ih7	ih8	Rh1	Rh2	Rh3	Rh4	Rh5	Rh6	Rh7	Rh8
27/03/25	09:26:09	1	5	3.077	0.814	11.662	2.265	1.727	4.708	1.734	1.968	32.282	2.007	3.270	3.310	0.000	3.370	3.390	3.080	3.270	3.220	0.140	0.146	0.000	0.163	0.143	0.152	0.144	0.140	23.357	22.671	NaN	20.675	23.706	20.263	22.708	23.000
27/03/25	09:26:14	2	10	3.079	0.814	11.655	2.265	1.722	4.709	1.734	1.968	35.601	1.971	3.270	3.310	0.000	3.370	3.400	3.080	3.270	3.220	0.140	0.146	0.000	0.163	0.142	0.152	0.144	0.140	23.357	22.671	NaN	20.675	23.944	20.263	22.708	23.000
27/03/25	09:26:19	3	15	3.078	0.814	11.649	2.265	1.720	4.709	1.734	1.968	36.877	2.012	3.270	3.310	0.000	3.370	3.400	3.070	3.270	3.220	0.140	0.147	0.000	0.163	0.143	0.152	0.144	0.140	23.357	22.517	NaN	20.675	23.776	20.197	22.708	23.000
27/03/25	09:26:24	4	20	3.079	0.813	11.643	2.265	1.724	4.708	1.734	1.968	36.857	2.065	3.270	3.310	0.000	3.370	3.400	3.080	3.270	3.220	0.140	0.147	0.000	0.163	0.142	0.152	0.145	0.140	23.357	22.517	NaN	20.675	23.944	20.263	22.552	23.000
27/03/25	09:26:29	5	25	3.080	0.813	11.661	2.265	1.726	4.707	1.734	1.968	27.644	2.019	3.270	3.310	0.000	3.370	3.400	3.070	3.270	3.220	0.140	0.147	0.000	0.163	0.143	0.152	0.144	0.140	23.357	22.517	NaN	20.675	23.776	20.197	22.708	23.000
27/03/25	09:26:34	6	30	3.079	0.813	11.665	2.265	1.721	4.705	1.734	1.969	31.283	2.047	3.270	3.310	0.000	3.370	3.390	3.080	3.270	3.220	0.140	0.146	0.000	0.163	0.143	0.152	0.144	0.140	23.357	22.671	NaN	20.675	23.706	20.263	22.708	23.000
27/03/25	09:26:39	7	35	3.081	0.813	11.667	2.265	1.724	4.707	1.734	1.968	39.718	1.980	3.270	3.310	0.000	3.370	3.390	3.080	3.270	3.220	0.140	0.147	0.000	0.163	0.143	0.152	0.144	0.140	23.357	22.517	NaN	20.675	23.706	20.263	22.708	23.000
27/03/25	09:26:44	8	40	3.080	0.814	11.658	2.265	1.725	4.705	1.734	1.969	45.383	2.030	3.270	3.310	0.000	3.370	3.400	3.080	3.270	3.220	0.140	0.146	0.000	0.163	0.142	0.152	0.145	0.140	23.357	22.671	NaN	20.675	23.944	20.263	22.552	23.000
27/03/25	09:26:49	9	45	3.080	0.813	11.640	2.265	1.715	4.705	1.734	1.968	57.278	1.983	3.270	3.310	0.000	3.370	3.390	3.080	3.270	3.220	0.140	0.147	0.000	0.163	0.142	0.152	0.145	0.140	23.357	22.517	NaN	20.675	23.873	20.263	22.552	23.000
27/03/25	09:26:54	10	50	3.082	0.813	11.647	2.265	1.722	4.708	1.734	1.969	52.287	2.043	3.270	3.310	0.000	3.370	3.390	3.080	3.270	3.220	0.140	0.146	0.000	0.163	0.142	0.152	0.145	0.140	23.357	22.671	NaN	20.675	23.873	20.263	22.552	23.000
